artist,title,date,website
Cynthia Beth RubinCynthia Beth Rubin,Memoirs,2001,http://CBRubin.net/memoirs
armand behararmand behar,Infiltration d'images respiratoires en milieu semi-ouvert/semi-fermé,2001,
Carrie MandelCarrie Mandel,Jessambola,2001,http://archive.rhizome.org/artbase/2123/jessambola/web/
Christiane DellbrüggeChristiane Dellbrügge,How do you feel?,2001,http://www.howdoyoufeel.de
Golan LevinGolan Levin,Dialtones (A Telesymphony),2001,http://www.telesymphony.com/
Jessica IrishJessica Irish,Inflat-o-scape,2001,http://www.inflatoscape.com/
Jess LosebyJess Loseby,I am here,2001,http://www.rssgallery.com/iamhere.htm
Eduardo NavasEduardo Navas,Grids,2001,http://www.navasse.net/grids/Rosalyngrids.swf
Michael MandibergMichael Mandiberg,AfterSherrieLevine.com,2001,http://www.AfterSherrieLevine.com/
Alexander GallowayAlexander Galloway,Carnivore,2001,http://r-s-g.org/carnivore/
IrwinIrwin,East Art Map,2001,http://www.eastartmap.org
Eddo SternEddo Stern,COCKFIGHT ARENA,2001,http://www.eddostern.com/cockfight_arena.html
220hex220hex,DodoNews,2001,http://www.220hex.org/dodonews
Joelle BittonJoelle Bitton,Plakatieren Verboten,2001,http://www.superficiel.org/temp/plakatieren/index.html
Alexei ShulginNatalie BookchinAlexei ShulginNatalie Bookchin,Homework,2001,
Angie WallerAngie Waller,Mobile Communication,2001,http://www.clip-fm.com/
Sally MinkerSally Minker,Artist Protection & Benefit Program website,2001,http://www.artistprotection.com/
Michael MandibergMichael Mandiberg,AfterWalkerEvans.com,2001,http://www.AfterWalkerEvans.com/
Taylor NuttallTaylor Nuttall,A Crisis Too Far--Foot and Mouth Documentation Project,2001,http://www.footandmouthdoc.com/
Joelle BittonJoelle Bitton,Avance/Retour/Rapides (Passages process n.5),2001,http://www.superficiel.org/temp/rew_ff/index.html
alun wardalun ward,Fly Me to the Moon,2001,http://archive.rhizome.org/artbase/3122/flyme.swf
Deanne AchongDeanne Achong,Excerpts from An Archive,2001,http://www.crankygirl.com/archive
Igor ŠtromajerIgor Štromajer,Ballettikka Internettikka,2001,http://www2.arnes.si/~ljintima2/ballet
Russet LedermanRusset Lederman,American Views: Stories of the Landscape,2001,
Golan LevinGolan Levin,Alphabet Synthesis Machine,2001,http://alphabet.tmema.org/
catherine ramuscatherine ramus,Ateliers d',2001,http://www.cathbleue.com
Haik HoisingtonHaik Hoisington,Always Suspect,2001,http://www.blackmustache.com/suspect.html
Scott BlakeScott Blake,Bar Code Noise,2001,http://www.punklist.com/~blake/art/noise/noise_01.html
sinae kimsinae kim,Genesis,2001,http://ksinae.pe.kr/work/genesis.html
Greg SidalGreg Sidal,Illicit images,2001,
David GolumbiaDavid Golumbia,Gl=v,2001,http://www.mindspring.com/~dgolumbi/docs/hycat/hycat.html
Reynald DrouhinReynald Drouhin,Faces,2001,
Juan Manuel PatiñoJuan Manuel Patiño,Bailalo,2001,
Yuli ZivYuli Ziv,Adam001,2001,http://www.yuliziv.com/adam001.html
Diller + ScofidioDiller + Scofidio,Refresh,2001,
Lara BankLara Bank,I love You_ I Miss You,2001,
Sergio MaltagliatiSergio Maltagliati,>[email protected] for cell.phones,2001,http://archive.rhizome.org/artbase/5137/
Reynald DrouhinReynald Drouhin,PanOmrama,2001,http://archive.rhizome.org/artbase/2825/pan/
Gemma San CornelioGemma San Cornelio,Borrowed bodies,2001,http://ttt.doctor.upv.es/~gesancor/index.htm
Eduardo NavasEduardo Navas,Chloe,2001,http://navasse.net/cloeyStart/
Rafael Lozano-HemmerRafael Lozano-Hemmer,"Re:Positioning Fear, Relational Architecture 3",2001,http://archive.rhizome.org/artbase/2398/fear/index.html
Udi AloniUdi Aloni,RE-U-MAN,2001,http://www.Re-U-Man.com/http://udialoni.com/re-u-man/
Greg SidalGreg Sidal,Drive Scroll,2001,http://geocities.com/gregsidal/drivescroll/index.html
Andy DeckAndy Deck,Bardcode,2001,http://artcontext.org/bardcode
francesco continfrancesco contin,Joseph Rossi Graphic First Aid,2001,http://www.josephrossi.com
Ian FinchIan Finch,Capital,2001,
Kristin LucasKristin Lucas,Between a Rock and a Hard Drive,2001,
01001011101011010100101110101101,Biennale.py,2001,http://www.0100101110101101.org/home/biennale_py
John FreyerJohn Freyer,All My Life for Sale,2001,http://www.allmylifeforsale.com/
Casey ReasCasey Reas,Processing,2001,http://processing.org/
Isabel ChangIsabel Chang,High:Rise,2001,
Roma CzernyszRoma Czernysz,A Classical Study of Photography Using the Closest Subject Matter at Hand,2001,http://www.cmdesign.net/creatrix-org/classical.html
Prema MurthyPrema Murthy,Bindigirl,2001,
Bret NicelyBret Nicely,Lover Texts,2001,http://nicebretly.com/net_art/l_vs_l_menu.htm
Michael Arnold MagesMichael Arnold Mages,Mutual Assured Deconstruction,2001,
Lewis LaCookLewis LaCook,Bliss,2001,http://archive.rhizome.org/artbase/11497/bliss/
David García CasadoDavid García Casado,Appendix,2001,http://w3art.es/schema/appendixhttp://www.davidgarciacasado.net/appendix/
Jody ZellenJody Zellen,Ghost City,2001,http://www.ghostcity.com/
Susan HillerSusan Hiller,Dream Screens,2001,http://awp.diaart.org/hiller/2005Flash/dreamscreens.htmlhttp://awp.diaart.org/hiller/dreamscreens.html
Rick MullarkyRick Mullarky,Eidetic Memory,2001,http://www.rickmu.com/eidetic.html
Neil ZusmanNeil Zusman,Mouse.Dance,2001,
Orit HalpernTal HalpernOrit HalpernTal Halpern,Chromosome 22,2001,http://www.mindspring.com/~biography/introresults.html
Diane BertoloDiane Bertolo,FT2K,2001,http://www.turbulence.org/Works/FT2K/index.html
Frieder RusmannFrieder Rusmann,Fabrikverkauf,2001,http://www.fabrik-ver-kauf.de/
Arturo HerreraArturo Herrera,Almost Home,2001,http://www.diacenter.org/herrera/index.html
Art CrapArt Crap,FOUR & SIX,2001,http://www.ephloci.com/?p=119
Marcello MazzellaMarcello Mazzella,Bodydrome,2001,
Isabelle HayeurIsabelle Hayeur,Capella,2001,http://archive.rhizome.org/artbase/3033/capella/
Kendall BrunsKendall Bruns,AfterMichaelMandiberg.com,2001,http://archive.rhizome.org/artbase/2545/AfterMichaelMandiberg/index.html
Lilia Perez RomeroLilia Perez Romero,Humanos,2001,http://liliaperez.net/?p=160http://lilia.banff.org/
shane davenportshane davenport,Dreamechanics,2001,http://dreamechanics.com
Brian McGrathBrian McGrath,Manhattan Timeformations,2001,http://www.skyscraper.org/timeformations/index.html
01001011101011010100101110101101,Life Sharing,2001,http://www.0100101110101101.org/home/life_sharing
Marketa BankovaMarketa Bankova,Rosie,2001,http://www.city.je
SchoenerwissenSchoenerwissen,Average,2001,http://average.minitasking.com/
